section,cohort,external_cohort,label_key,diagnosis,headline,finding_class,feature,orientation,metric,value,lower_95,upper_95
shift_delta,,ningbo,59931005,t wave inversion,True,interpretive,,,shift_delta,-0.04670764361709112,-0.08964546998790915,0.0036778944049562063
model_comparison,,chapman_shaoxing,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,,,feature_model_shift_delta,-0.25792091402112016,,
model_comparison,,chapman_shaoxing,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,,,xresnet1d101_shift_delta,-0.0996534659947373,-0.1249600510683018,-0.0755891924703891
model_comparison,,chapman_shaoxing,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,,,feature_model_shift_delta,-0.02171446865814952,,
model_comparison,,chapman_shaoxing,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,,,xresnet1d101_shift_delta,-0.0211553946434487,-0.0296780069139021,-0.0137846980890404
model_comparison,,chapman_shaoxing,270492004,1st degree av block,True,geometric,,,feature_model_shift_delta,-0.03978961236790701,,
model_comparison,,chapman_shaoxing,270492004,1st degree av block,True,geometric,,,xresnet1d101_shift_delta,-0.0070095003205351,-0.0181945787748569,0.0028709705478291
model_comparison,,chapman_shaoxing,39732003,left axis deviation,True,geometric,,,feature_model_shift_delta,0.06039323187412715,,
model_comparison,,chapman_shaoxing,39732003,left axis deviation,True,geometric,,,xresnet1d101_shift_delta,0.0176912812964581,0.006145808507707,0.0308576361228319
model_comparison,,chapman_shaoxing,698252002,nonspecific intraventricular conduction disorder,True,interpretive,,,feature_model_shift_delta,0.01377487443446812,,
model_comparison,,chapman_shaoxing,698252002,nonspecific intraventricular conduction disorder,True,interpretive,,,xresnet1d101_shift_delta,-0.0655879063491389,-0.1380201226279885,0.0127077780927883
model_comparison,,chapman_shaoxing,426783006,sinus rhythm,True,interpretive,,,feature_model_shift_delta,-0.2301205330008551,,
model_comparison,,chapman_shaoxing,426783006,sinus rhythm,True,interpretive,,,xresnet1d101_shift_delta,-0.0892916802464367,-0.1047096257656161,-0.0730183425766475
model_comparison,,chapman_shaoxing,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,unclassified,,,feature_model_shift_delta,0.021774319462272818,,
model_comparison,,chapman_shaoxing,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,unclassified,,,xresnet1d101_shift_delta,-0.0485308259940318,-0.0944684449766374,0.0046422082473608
model_comparison,,chapman_shaoxing,164917005,qwave abnormal,True,unclassified,,,feature_model_shift_delta,0.022189900405120033,,
model_comparison,,chapman_shaoxing,164917005,qwave abnormal,True,unclassified,,,xresnet1d101_shift_delta,-0.0085894460789521,-0.0682557847518149,0.0544045701086969
model_comparison,,chapman_shaoxing,47665007,right axis deviation,True,geometric,,,feature_model_shift_delta,-0.014820794334004628,,
model_comparison,,chapman_shaoxing,47665007,right axis deviation,True,geometric,,,xresnet1d101_shift_delta,-0.0232202117733674,-0.0326882752169563,-0.0133707376031804
model_comparison,,chapman_shaoxing,426177001,sinus bradycardia,True,geometric,,,feature_model_shift_delta,0.038613363035671755,,
model_comparison,,chapman_shaoxing,426177001,sinus bradycardia,True,geometric,,,xresnet1d101_shift_delta,0.0257036196752842,0.0052493799920339,0.0532257815279692
model_comparison,,chapman_shaoxing,427084000,sinus tachycardia,True,geometric,,,feature_model_shift_delta,-0.08370792676657934,,
model_comparison,,chapman_shaoxing,427084000,sinus tachycardia,True,geometric,,,xresnet1d101_shift_delta,-0.0005084703662813,-0.0046426508755032,0.0053650320534258
