external_cohort,architecture,label_key,diagnosis,estimand,internal_auroc,external_auroc,shift_delta,shift_delta_lower_95,shift_delta_upper_95,excludes_zero
ningbo,xresnet1d101,164934002,t wave abnormal,as_registered,0.9195095702467334,0.7712122747031058,-0.14829729554362758,-0.16715390003648944,-0.12727117834030355,True
ningbo,xresnet1d101,164934002,t wave abnormal,union,0.9081408373951743,0.7464786723728765,-0.1616621650222978,-0.18085099431845056,-0.14063791521368496,True
ningbo,xresnet1d101,164934002,t wave abnormal,restricted,0.9203608141775104,0.8019589105500586,-0.11840190362745173,-0.13754544707592456,-0.0970878054902361,True
chapman_shaoxing,s4d,164934002,t wave abnormal,as_registered,0.9155392988641591,0.7606146231825327,-0.15492467568162638,-0.1768156993764871,-0.13249561810625507,True
chapman_shaoxing,s4d,164934002,t wave abnormal,union,0.9063586731656121,0.7467607813515426,-0.15959789181406958,-0.18170968857807082,-0.1377807296663941,True
chapman_shaoxing,s4d,164934002,t wave abnormal,restricted,0.9161501008840448,0.7669359789798896,-0.14921412190415517,-0.17116534077249873,-0.12635259631095158,True
ningbo,s4d,164934002,t wave abnormal,as_registered,0.9155392988641591,0.7785897717428292,-0.1369495271213299,-0.15637343420559172,-0.11653183335541636,True
ningbo,s4d,164934002,t wave abnormal,union,0.9063586731656121,0.7445213489203366,-0.16183732424527553,-0.1812511806745156,-0.14081586102680616,True
ningbo,s4d,164934002,t wave abnormal,restricted,0.9161501008840448,0.8047350244815972,-0.11141507640244763,-0.13167954359397582,-0.08966352120528077,True
chapman_shaoxing,xresnet1d101,59931005,t wave inversion,as_registered,0.958633408053926,0.8532645679331873,-0.10536884012073877,-0.1389310123918701,-0.07190630341977194,True
chapman_shaoxing,xresnet1d101,59931005,t wave inversion,union,0.7268485160404872,0.8032069709190148,0.07635845487852766,0.044297531572134806,0.10902620644046646,True
chapman_shaoxing,xresnet1d101,59931005,t wave inversion,restricted,0.9607136730142392,0.9037266910320152,-0.05698698198222396,-0.09471124555230341,-0.020492003175829904,True
ningbo,xresnet1d101,59931005,t wave inversion,as_registered,0.958633408053926,0.8648471954417933,-0.09378621261213271,-0.11178853337731841,-0.07399019513731604,True
ningbo,xresnet1d101,59931005,t wave inversion,union,0.7268485160404872,0.7969178813098736,0.07006936526938645,0.038921828291314416,0.10036586817572618,True
ningbo,xresnet1d101,59931005,t wave inversion,restricted,0.9607136730142392,0.8728224197617609,-0.08789125325247826,-0.10774583949995502,-0.06633792434133808,True
chapman_shaoxing,s4d,59931005,t wave inversion,as_registered,0.9552312363873389,0.8509276385145158,-0.10430359787282306,-0.14220107374817192,-0.07096900863279423,True
chapman_shaoxing,s4d,59931005,t wave inversion,union,0.7439173301847759,0.8207529691147156,0.07683563892993972,0.04402664518064816,0.10892093266392966,True
chapman_shaoxing,s4d,59931005,t wave inversion,restricted,0.9618287870989878,0.8944374019075214,-0.06739138519146637,-0.10987501305993518,-0.028380817775143646,True
ningbo,s4d,59931005,t wave inversion,as_registered,0.9552312363873389,0.8763844136380667,-0.07884682274927213,-0.09397140946113534,-0.0637247784048107,True
ningbo,s4d,59931005,t wave inversion,union,0.7439173301847759,0.8177840921104126,0.07386676192563668,0.0424836523173704,0.10607210566982928,True
ningbo,s4d,59931005,t wave inversion,restricted,0.9618287870989878,0.8938855592960037,-0.06794322780298412,-0.08203121357128274,-0.052404134572521584,True
