section,cohort,architecture,rung,label_key,diagnosis,sample_size,metric,value,lower_95,upper_95
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,270492004,1st degree av block,,source_prevalence,0.036513951085084394,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,270492004,1st degree av block,,target_prevalence,0.0359417652411283,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,39732003,left axis deviation,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,39732003,left axis deviation,,offset,0.017418756740878116,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,39732003,left axis deviation,,source_prevalence,0.23705362268917213,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,39732003,left axis deviation,,target_prevalence,0.24021838034576887,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,698252002,nonspecific intraventricular conduction disorder,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,698252002,nonspecific intraventricular conduction disorder,,offset,-0.006551900733374527,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,698252002,nonspecific intraventricular conduction disorder,,source_prevalence,0.036169479848432655,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,698252002,nonspecific intraventricular conduction disorder,,target_prevalence,0.0359417652411283,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426783006,sinus rhythm,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426783006,sinus rhythm,,offset,-0.005517635139643984,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426783006,sinus rhythm,,source_prevalence,0.82971638534849,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426783006,sinus rhythm,,target_prevalence,0.8289353958143767,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,284470004|63593006,premature atrial contraction / supraventricular premature beats,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,284470004|63593006,premature atrial contraction / supraventricular premature beats,,offset,-0.04244322132426692,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,284470004|63593006,premature atrial contraction / supraventricular premature beats,,source_prevalence,0.02560569525777931,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,284470004|63593006,premature atrial contraction / supraventricular premature beats,,target_prevalence,0.02456778889899909,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164917005,qwave abnormal,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164917005,qwave abnormal,,offset,-0.00505626075221377,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164917005,qwave abnormal,,source_prevalence,0.025146400275576988,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,164917005,qwave abnormal,,target_prevalence,0.02502274795268426,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,47665007,right axis deviation,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,47665007,right axis deviation,,offset,-0.31466666470524096,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,47665007,right axis deviation,,source_prevalence,0.01613273624985647,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,47665007,right axis deviation,,target_prevalence,0.011828935395814377,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426177001,sinus bradycardia,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426177001,sinus bradycardia,,offset,-0.0037170615141204344,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426177001,sinus bradycardia,,source_prevalence,0.029222643242622574,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,426177001,sinus bradycardia,,target_prevalence,0.029117379435850774,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,427084000,sinus tachycardia,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,427084000,sinus tachycardia,,offset,-0.01774602516489887,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,427084000,sinus tachycardia,,source_prevalence,0.037949247904466646,,
