cohort,architecture,calibration,label_key,bin,lower,upper,count,mean_probability,observed_frequency
ptb_test,xresnet1d101,uncalibrated,426783006,13,0.8,0.8666666666666667,90,0.835711082484987,0.8111111111111111
ptb_test,xresnet1d101,uncalibrated,426783006,14,0.8666666666666667,0.9333333333333333,238,0.9068319354237628,0.8781512605042017
ptb_test,xresnet1d101,uncalibrated,426783006,15,0.9333333333333333,1.0,1466,0.9804386216003605,0.9713506139154161
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,1,0.0,0.06666666666666667,2028,0.013514836525416627,0.009368836291913214
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,2,0.06666666666666667,0.13333333333333333,110,0.09410999552770094,0.16363636363636364
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,3,0.13333333333333333,0.2,39,0.15961177417865166,0.23076923076923078
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,4,0.2,0.26666666666666666,13,0.23486695266686952,0.3076923076923077
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,5,0.26666666666666666,0.3333333333333333,5,0.29804696440696715,0.2
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,6,0.3333333333333333,0.4,2,0.35383152961730957,1.0
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,7,0.4,0.4666666666666667,1,0.41542088985443115,1.0
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,8,0.4666666666666667,0.5333333333333333,0,,
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,9,0.5333333333333333,0.6,0,,
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,10,0.6,0.6666666666666666,0,,
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,11,0.6666666666666666,0.7333333333333333,0,,
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,12,0.7333333333333333,0.8,0,,
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,13,0.8,0.8666666666666667,0,,
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,14,0.8666666666666667,0.9333333333333333,0,,
ptb_test,xresnet1d101,uncalibrated,284470004|63593006,15,0.9333333333333333,1.0,0,,
ptb_test,xresnet1d101,uncalibrated,164917005,1,0.0,0.06666666666666667,1963,0.00994417131009502,0.01273560876209883
ptb_test,xresnet1d101,uncalibrated,164917005,2,0.06666666666666667,0.13333333333333333,124,0.09304877538834849,0.0967741935483871
ptb_test,xresnet1d101,uncalibrated,164917005,3,0.13333333333333333,0.2,34,0.16282796421471765,0.08823529411764706
ptb_test,xresnet1d101,uncalibrated,164917005,4,0.2,0.26666666666666666,31,0.2219692175426791,0.0967741935483871
ptb_test,xresnet1d101,uncalibrated,164917005,5,0.26666666666666666,0.3333333333333333,15,0.2997988680998484,0.2
ptb_test,xresnet1d101,uncalibrated,164917005,6,0.3333333333333333,0.4,12,0.362104890247186,0.25
ptb_test,xresnet1d101,uncalibrated,164917005,7,0.4,0.4666666666666667,5,0.4221076488494873,0.0
ptb_test,xresnet1d101,uncalibrated,164917005,8,0.4666666666666667,0.5333333333333333,5,0.4968352258205414,0.2
ptb_test,xresnet1d101,uncalibrated,164917005,9,0.5333333333333333,0.6,4,0.5649348646402359,0.25
ptb_test,xresnet1d101,uncalibrated,164917005,10,0.6,0.6666666666666666,2,0.6330854296684265,0.5
ptb_test,xresnet1d101,uncalibrated,164917005,11,0.6666666666666666,0.7333333333333333,3,0.7032460769017538,1.0
ptb_test,xresnet1d101,uncalibrated,164917005,12,0.7333333333333333,0.8,0,,
ptb_test,xresnet1d101,uncalibrated,164917005,13,0.8,0.8666666666666667,0,,
ptb_test,xresnet1d101,uncalibrated,164917005,14,0.8666666666666667,0.9333333333333333,0,,
ptb_test,xresnet1d101,uncalibrated,164917005,15,0.9333333333333333,1.0,0,,
ptb_test,xresnet1d101,uncalibrated,47665007,1,0.0,0.06666666666666667,2154,0.0010718902911538099,0.001392757660167131
ptb_test,xresnet1d101,uncalibrated,47665007,2,0.06666666666666667,0.13333333333333333,8,0.11296484619379044,0.0
ptb_test,xresnet1d101,uncalibrated,47665007,3,0.13333333333333333,0.2,2,0.15937607735395432,0.0
ptb_test,xresnet1d101,uncalibrated,47665007,4,0.2,0.26666666666666666,3,0.23250539104143778,0.3333333333333333
ptb_test,xresnet1d101,uncalibrated,47665007,5,0.26666666666666666,0.3333333333333333,1,0.32552507519721985,1.0
ptb_test,xresnet1d101,uncalibrated,47665007,6,0.3333333333333333,0.4,2,0.35449135303497314,0.5
ptb_test,xresnet1d101,uncalibrated,47665007,7,0.4,0.4666666666666667,4,0.43177083134651184,0.5
ptb_test,xresnet1d101,uncalibrated,47665007,8,0.4666666666666667,0.5333333333333333,1,0.5246619582176208,0.0
ptb_test,xresnet1d101,uncalibrated,47665007,9,0.5333333333333333,0.6,2,0.5529967844486237,1.0
ptb_test,xresnet1d101,uncalibrated,47665007,10,0.6,0.6666666666666666,4,0.6385003328323364,0.75
ptb_test,xresnet1d101,uncalibrated,47665007,11,0.6666666666666666,0.7333333333333333,5,0.6965530157089234,0.4
ptb_test,xresnet1d101,uncalibrated,47665007,12,0.7333333333333333,0.8,1,0.7438270449638367,1.0
ptb_test,xresnet1d101,uncalibrated,47665007,13,0.8,0.8666666666666667,4,0.829866573214531,0.75
ptb_test,xresnet1d101,uncalibrated,47665007,14,0.8666666666666667,0.9333333333333333,3,0.9230025211970011,1.0
ptb_test,xresnet1d101,uncalibrated,47665007,15,0.9333333333333333,1.0,4,0.9562361091375351,1.0
ptb_test,xresnet1d101,uncalibrated,426177001,1,0.0,0.06666666666666667,2033,0.00503202372107872,0.008362026561731432
ptb_test,xresnet1d101,uncalibrated,426177001,2,0.06666666666666667,0.13333333333333333,57,0.09514301714667103,0.08771929824561403
ptb_test,xresnet1d101,uncalibrated,426177001,3,0.13333333333333333,0.2,25,0.15974753081798554,0.04
